iter	Passed	Remaining
0	108	21506
1	164	16255
2	211	13901
3	279	13697
4	334	13056
5	391	12644
6	441	12164
7	526	12647
8	591	12550
9	690	13121
10	740	12721
11	781	12245
12	823	11846
13	872	11589
14	919	11336
15	968	11133
16	1021	10994
17	1067	10788
18	1115	10625
19	1165	10493
20	1214	10348
21	1305	10566
22	1366	10519
23	1435	10529
24	1490	10430
25	1540	10311
26	1594	10215
27	1671	10268
28	1722	10157
29	1770	10032
30	1816	9902
31	1862	9777
32	1909	9661
33	1955	9547
34	2000	9433
35	2046	9324
36	2134	9403
37	2214	9441
38	2294	9473
39	2339	9359
40	2385	9252
41	2435	9163
42	2486	9079
43	2544	9021
44	2594	8937
45	2647	8864
46	2702	8796
47	2747	8699
48	2797	8620
49	2852	8557
50	2899	8472
51	2946	8385
52	2991	8296
53	3037	8211
54	3088	8143
55	3137	8068
56	3193	8012
57	3243	7941
58	3294	7872
59	3345	7806
60	3393	7731
61	3442	7663
62	3492	7595
63	3540	7523
64	3589	7456
65	3639	7389
66	3691	7328
67	3752	7283
68	3800	7214
69	3845	7141
70	3890	7068
71	3934	6994
72	3980	6924
73	4031	6865
74	4092	6820
75	4136	6748
76	4177	6673
77	4220	6601
78	4264	6531
79	4303	6455
80	4347	6386
81	4390	6318
82	4433	6250
83	4475	6179
84	4517	6112
85	4557	6041
86	4600	5975
87	4638	5903
88	4677	5834
89	4727	5778
90	4767	5710
91	4806	5642
92	4845	5574
93	4886	5510
94	4932	5451
95	4973	5387
96	5014	5324
97	5052	5258
98	5091	5194
99	5130	5130
100	5169	5067
101	5209	5004
102	5246	4941
103	5285	4878
104	5324	4817
105	5363	4756
106	5401	4694
107	5440	4634
108	5478	4573
109	5517	4514
110	5556	4455
111	5594	4395
112	5632	4336
113	5674	4280
114	5712	4222
115	5751	4164
116	5788	4106
117	5828	4050
118	5866	3993
119	5906	3937
120	5944	3881
121	5982	3825
122	6021	3769
123	6058	3713
124	6099	3659
125	6139	3605
126	6178	3551
127	6218	3497
128	6257	3444
129	6361	3425
130	6400	3371
131	6444	3319
132	6486	3267
133	6529	3216
134	6570	3163
135	6614	3112
136	6655	3060
137	6696	3008
138	6741	2958
139	6783	2907
140	6824	2855
141	6866	2804
142	6907	2753
143	6946	2701
144	6985	2649
145	7026	2598
146	7102	2560
147	7169	2519
148	7225	2473
149	7277	2425
150	7325	2377
151	7383	2331
152	7444	2286
153	7489	2237
154	7540	2189
155	7587	2139
156	7633	2090
157	7684	2042
158	7738	1995
159	7790	1947
160	7837	1898
161	7883	1849
162	7930	1800
163	7981	1751
164	8027	1702
165	8081	1655
166	8157	1611
167	8215	1564
168	8280	1518
169	8329	1469
170	8393	1423
171	8448	1375
172	8499	1326
173	8546	1277
174	8593	1227
175	8660	1180
176	8723	1133
177	8786	1085
178	8854	1038
179	8938	993
180	8995	944
181	9062	896
182	9119	847
183	9171	797
184	9233	748
185	9279	698
186	9326	648
187	9376	598
188	9421	548
189	9470	498
190	9520	448
191	9565	398
192	9615	348
193	9667	299
194	9743	249
195	9810	200
196	9880	150
197	9952	100
198	10010	50
199	10053	0
